"入";56;2;"教育漢字 (kyōiku kanji)";"入";"ニュウ, ジュ ";"い.る, -い.る, -い.り, い.れる, -い.れ, はい.る ";"いり, いる, に, の, りり ";"enter, insert";95;"nyuu, ju ";"i.ru, -i.ru, -i.ri, i.reru, -i.re, hai.ru "
"全";75;6;"教育漢字 (kyōiku kanji)";"入";"ゼン ";"まった.く, すべ.て ";"たけ, まさ ";"whole, entire, all, complete, fulfill";96;"zen ";"matta.ku, sube.te "
"八";92;2;"教育漢字 (kyōiku kanji)";"八";"ハチ ";"や, や.つ, やっ.つ, よう ";"な, は, はっ, はつ, やち, やつ ";"eight, eight radical (no. 12)";97;"hachi ";"ya, ya.tsu, ya.tsu, you "
"公";118;4;"教育漢字 (kyōiku kanji)";"八";"コウ, ク ";"おおやけ ";"あきら, き, きみ, きん, たか, ただし, とも, ひろ, まさ ";"public, prince, official, governmental";98;"kou, ku ";"ooyake "
"六";93;4;"教育漢字 (kyōiku kanji)";"八";"ロク, リク ";"む, む.つ, むっ.つ, むい ";"く, むつ, ろっ, ろつ ";"six";99;"roku, riku ";"mu, mu.tsu, mu.tsu, mui "
"共";174;6;"教育漢字 (kyōiku kanji)";"八";"キョウ ";"とも, とも.に, -ども ";"null";"together, both, neither, all, and, alike, with";100;"kyou ";"tomo, tomo.ni, -domo "
"关";9999;6;"表外漢字 (hyōgai kanji)";"八";"null";"null";"null";"frontier pass, close, relation";101;"null";"null"
"兵";522;7;"教育漢字 (kyōiku kanji)";"八";"ヘイ, ヒョウ ";"つわもの ";"へ ";"soldier, private, troops, army, warfare, strategy, tactics";102;"hei, hyou ";"tsuwamono "
"其";1930;8;"人名用漢字 (jinmeiyō kanji)";"八";"キ, ギ, ゴ ";"それ, その ";"null";"that";103;"ki, gi, go ";"sore, sono "
"具";629;8;"教育漢字 (kyōiku kanji)";"八";"グ ";"そな.える, つぶさ.に ";"とも ";"tool, utensil, means, possess, ingredients, counter for armor, suits, sets of furniture";104;"gu ";"sona.eru, tsubusa.ni "
"典";1055;8;"教育漢字 (kyōiku kanji)";"八";"テン, デン ";"null";"すけ, つね, の, のり ";"code, ceremony, law, rule";105;"ten, den ";"null"
"兼";1164;10;"常用漢字 (jōyō kanji)";"八";"ケン ";"か.ねる, -か.ねる ";"かね ";"concurrently, and, beforehand, in advance";106;"ken ";"ka.neru, -ka.neru "
"冂";9999;2;"表外漢字 (hyōgai kanji)";"冂";"キョウ, ケイ ";"null";"null";"upside-down box radical (no. 13)";107;"kyou, kei ";"null"
"内";44;4;"教育漢字 (kyōiku kanji)";"冂";"ナイ, ダイ ";"うち ";"いと, ただ, ち, のち ";"inside, within, between, among, house, home";108;"nai, dai ";"uchi "
"円";69;4;"教育漢字 (kyōiku kanji)";"冂";"エン ";"まる.い, まる, まど, まど.か, まろ.やか ";"つぶら, のぶ, まどか, みつ ";"circle, yen, round";109;"en ";"maru.i, maru, mado, mado.ka, maro.yaka "
"冉";9999;5;"表外漢字 (hyōgai kanji)";"冂";"ゼン, ネン ";"あや.うい ";"null";"red, tan";110;"zen, nen ";"aya.ui "
"冊";1313;5;"教育漢字 (kyōiku kanji)";"冂";"サツ, サク ";"ふみ ";"null";"tome, counter for books, volume";111;"satsu, saku ";"fumi "
"冋";9999;5;"表外漢字 (hyōgai kanji)";"冂";"キョウ, ケイ ";"まきがまえ, えながまえ, どうがまえ, けいがまえ ";"null";"desert, border prairie, the 1st form is radical 13";112;"kyou, kei ";"makigamae, enagamae, dougamae, keigamae "
"再";275;6;"教育漢字 (kyōiku kanji)";"一";"サイ, サ ";"ふたた.び ";"ふた ";"again, twice, second time";113;"sai, sa ";"futata.bi "
"冎";9999;6;"表外漢字 (hyōgai kanji)";"冂";"カ, ケ ";"わ.ける, さ.く ";"null";"null";114;"ka, ke ";"wa.keru, sa.ku "
"冏";9999;7;"表外漢字 (hyōgai kanji)";"冂";"ケイ, キョウ, ソウ ";"あきらか ";"null";"light, clear, bright";115;"kei, kyou, sou ";"akiraka "
"冒";1317;9;"常用漢字 (jōyō kanji)";"目";"ボウ ";"おか.す ";"null";"risk, face, defy, dare, damage, assume (a name)";116;"bou ";"oka.su "
"冓";9999;10;"表外漢字 (hyōgai kanji)";"冂";"コウ ";"かま.える ";"null";"put together, inner palace";117;"kou ";"kama.eru "
"冖";9999;2;"表外漢字 (hyōgai kanji)";"冖";"ベキ ";"null";"null";"wa-shaped crown radical (no. 14)";118;"beki ";"null"
"冗";1782;4;"常用漢字 (jōyō kanji)";"冖";"ジョウ ";"null";"null";"superfluous, uselessness";119;"jou ";"null"
"冘";9999;4;"表外漢字 (hyōgai kanji)";"冖";"イン, ユ ";"おこた.る, ためら.う, うたが.う ";"null";"to move on, doubtful";120;"in, yu ";"okota.ru, tamera.u, utaga.u "
"写";453;5;"教育漢字 (kyōiku kanji)";"冖";"シャ, ジャ ";"うつ.す, うつ.る, うつ-, うつ.し ";"null";"copy, be photographed, describe";121;"sha, ja ";"utsu.su, utsu.ru, utsu-, utsu.shi "
"冝";9999;7;"表外漢字 (hyōgai kanji)";"冖";"ギ ";"よろ.しい, よろ.しく ";"null";"suitable, right, fitting, proper";122;"gi ";"yoro.shii, yoro.shiku "
"冠";1503;9;"常用漢字 (jōyō kanji)";"冖";"カン ";"かんむり ";"か, かっぷ, まさる ";"crown, best, peerless";123;"kan ";"kanmuri "
"冡";9999;10;"表外漢字 (hyōgai kanji)";"冖";"ボウ, モ ";"おお.う ";"null";"null";124;"bou, mo ";"oo.u "
